,0
0,-2.493205452602696
1,-2.374905754573672
2,1.6094379124341003
3,-2.6557243821004706
4,-3.0040310763686864
5,1.6462518855568171
6,3.5553480614894135
7,-1.916922612182061
8,-0.4054651081081645
9,1.466337068793427
10,0.0
11,1.0900285449767182
12,1.7578579175523732
13,-2.197224577336219
14,0.5158131652770295
15,-0.7888530306563122
16,-1.9169226121820613
17,-2.1400661634962708
18,-1.0169342576538423
19,4.351084062964826
20,-2.197224577336219
21,0.5228739622821656
22,-3.5263605246161616
23,0.916290731874155
24,0.6668792537393351
25,0.11247798342669002
26,0.0
27,1.3614348139065524
28,-0.5108256237659905
29,2.3228903591547914
30,-0.15139964645536885
31,-0.3313571359544425
32,-2.2735975561207935
33,-0.46262352194811296
34,-2.676444861686879
35,0.916290731874155
36,2.9488153537662396
37,-1.2465324187447315
38,1.283208403725779
39,-2.1326860561986485
40,1.4170046650613635
41,-0.8873031950009027
42,-1.3993664426872439
43,0.10536051565782634
44,-0.6931471805599454
45,-2.833213344056216
46,1.3256697393034553
47,-3.292525536251019
48,-2.0794415416798357
49,0.26975392339803483
50,-2.4849066497880004
51,-1.2809338454620642
52,-1.3771618775566177
53,-1.6545583477145702
54,-2.8903717578961645
55,1.3862943611198906
56,-0.4054651081081645
57,-1.0594379342095284
58,-0.3662907536495571
59,0.23363797697028366
60,-1.1078289437730335
61,1.5404450409471486
62,1.3862943611198906
63,-1.7525851147694997
64,1.1078289437730335
65,-0.08455738802806279
66,-0.21130909366720685
67,0.1251631429540061
68,-0.4502010019495559
69,1.7068600254415691
70,1.5639755383573428
71,0.6931471805599453
72,-0.11441035117774412
73,0.47542369671507423
74,-1.0840134892469573
75,-2.6492097010792763
76,0.027398974188114433
77,-2.676444861686879
78,0.023530497410193973
79,0.2876820724517808
80,0.18658595558041213
81,-2.5455312716044354
82,0.5108256237659905
83,-1.0986122886681098
84,-1.8971199848858813
85,0.9409833444645268
86,0.28995663071555366
87,1.3337606828886068
88,0.8860508466844372
89,0.5596157879354231
90,1.0761394328160514
91,-1.683087623816902
92,1.0986122886681096
93,-2.197224577336219
94,-2.9575110607337933
95,-2.647425579285775
96,-3.58351893845611
97,3.992065713101683
98,-1.9953584244692948
99,1.0269704090095813
100,-0.6766178786087345
101,-0.8362480242006187
102,-0.8873031950009027
103,-1.7346010553881066
104,-2.676444861686879
105,0.0
106,-0.6931471805599453
107,-1.3609765531356004
108,-0.12675170563914406
109,-1.2163953243244934
110,0.30830135965451655
111,-0.7471912760413449
112,-0.6664789334777841
113,-1.686398953570229
114,-0.8190818279730754
115,-1.9694406464655074
116,-0.4054651081081646
117,0.4509274821849223
118,-1.152656384149469
119,0.4462871026284194
120,1.2039728043259361
121,0.0
122,-2.2512917986064953
123,3.081552465173467
124,-1.1526795099383857
125,3.295836866004329
126,-0.7654678421395715
127,-0.5225216635291816
128,-2.046651718856845
129,-1.1526563841494688
130,-0.916290731874155
131,-2.7343675094195836
132,-0.055569851154810834
133,0.5786754746569122
134,1.1956045546554197
135,-1.0986122886681098
136,-0.6931471805599453
137,1.6885752329928243
138,-1.2527629684953676
139,-2.847812143477369
140,-0.9140161736103113
141,-2.8903717578961645
142,-0.4054651081081645
143,0.7654678421395711
